date,close_afran,close_yaghoot,close_goldMofid,close_nahal,close_sahar,close_agas,close_sarv,close_atlas
2023-03-14,19593,17558,68848.15,15885.39,21306.55,109078.33,9382.89,35576.65
2023-03-15,19615,17563,69423.27,16271.35,21838.52,112609.12,9640.46,36614.99
2023-03-18,19647,17595,74200.99,16538.54,22121.96,117592.46,10014.54,39169.62
2023-03-19,19685,17631,76150.89,16222.85,21849.5,118708.03,10191.11,39856.81
2023-03-25,19741,17658,80711.17,16418.8,21987.23,120494.55,10355.85,39701.16
2023-03-26,19754,17670,77041.0,16495.0,22618.0,120231.0,10361.31,39776.1
2023-03-27,19767,17679,77041.0,16495.0,22618.0,120231.0,10361.31,39776.1
2023-03-28,19780,17688,77954.0,16833.0,22731.0,122543.0,10505.9,40296.4
2023-03-29,19817,17704,80660.0,17362.0,23078.0,124210.0,10582.29,40776.5
2023-04-03,19859,17746,79461.0,17354.0,22900.0,123554.0,10561.37,40719.2
2023-04-04,19872,17762,75719.0,16977.0,22405.0,123353.0,10828.73,41134.2
2023-04-05,19897,17770,78805.0,16870.0,22132.0,124223.0,10845.1,41206.0
2023-04-08,19923,17800,78117.0,17177.0,22601.0,129524.0,11408.9,43029.79
2023-04-09,19937,17813,77492.0,17113.0,22364.0,131196.0,11648.07,43363.79
2023-04-10,19950,17823,74967.0,17037.0,22186.0,128922.0,11557.13,43021.59
2023-04-11,19983,17853,77370.0,16877.0,22226.0,129907.0,11409.81,42941.59
2023-04-15,20013,17873,76236.0,16834.0,22153.0,134834.0,11859.95,44677.49
2023-04-16,20027,17887,75947.0,16885.0,22340.0,134533.0,12010.9,44874.19
2023-04-17,20041,17898,77412.0,17478.0,23041.0,135261.0,12062.74,44857.19
2023-04-18,20055,17905,77215.0,17778.0,24019.0,137878.0,12175.5,45500.19
2023-04-19,20098,17946,77833.0,18087.0,24143.0,137234.0,12140.94,45348.59
2023-04-24,20128,17973,77345.0,17491.0,23784.0,137473.0,12067.28,45402.89
2023-04-25,20142,17985,77213.0,17679.0,23493.0,139804.0,12282.8,46419.99
2023-04-26,20167,18006,79866.0,17359.0,23163.0,139488.0,12280.08,46271.39
2023-04-29,20195,18028,86366.0,17702.0,23935.0,144358.0,12703.84,48194.68
2023-04-30,20209,18038,91762.0,18147.0,25158.0,147069.0,12869.34,49351.68
2023-05-01,20223,18049,96899.0,17931.0,24913.0,146960.0,12872.07,49100.38
2023-05-02,20237,18059,92548.0,17764.0,24711.0,149549.0,13173.98,49628.08
2023-05-03,20263,18081,90117.0,17698.0,24683.0,149118.0,13254.92,49426.58
2023-05-06,20291,18104,90618.0,17766.0,25138.0,151000.0,13538.64,49831.48
2023-05-07,20305,18114,84013.0,16682.0,23193.0,143102.0,12762.04,47118.38
2023-05-08,20322,18127,85453.0,16327.0,22194.0,133752.0,11693.53,43415.49
2023-05-09,20338,18138,87144.0,16771.0,22942.0,138545.0,12247.34,45316.69
2023-05-10,20366,18159,83876.0,16582.0,22801.0,135366.0,12063.65,44761.99
2023-05-13,20394,18181,79703.0,16249.0,22323.0,129281.0,11438.0,42395.1
2023-05-14,20408,18191,80470.0,16690.0,23190.0,137018.0,12124.57,44399.89
2023-05-15,20429,18201,78120.0,16447.0,22814.0,135215.0,12060.01,44406.09
2023-05-17,20464,18234,75554.0,16485.0,23095.0,137751.0,12213.69,44749.59
2023-05-20,20493,18257,76463.0,16516.0,22672.0,136115.0,12158.22,44245.89
2023-05-21,20507,18267,80322.0,16604.0,22782.0,137099.0,12242.79,44487.69
2023-05-22,20521,18280,82088.0,16643.0,22832.0,138134.0,12322.82,44961.19
2023-05-23,20535,18291,80372.0,16625.0,22632.0,139148.0,12375.56,45019.19
2023-05-24,20561,18314,79631.0,16518.0,22501.0,140019.0,12395.57,45415.19
2023-05-27,20591,18335,76944.0,16357.0,22162.0,137186.0,12247.34,44567.39
2023-05-28,20605,18347,74873.0,15899.0,21610.0,132715.0,11829.03,43214.19
2023-05-29,20619,18358,76877.0,16121.0,21869.0,133649.0,11879.05,43422.29
2023-05-30,20634,18370,75935.0,16117.0,21775.0,134949.0,11981.8,43743.79
2023-05-31,20659,18392,73950.0,15825.0,21414.0,132956.0,11834.49,43252.89
2023-06-03,20700,18426,74098.0,15656.0,21335.0,133662.0,11919.06,43344.29
2023-06-06,20731,18448,74181.0,15692.0,21566.0,134483.0,12035.46,43504.99
2023-06-07,20756,18471,71746.0,15751.0,21430.0,134048.0,12003.63,43343.69
2023-06-10,20789,18494,70966.0,15688.0,20796.0,128645.0,11529.85,41675.7
2023-06-11,20803,18506,69069.0,15774.0,20630.0,129003.0,11524.39,41532.3
2023-06-12,20817,18518,68007.0,15127.0,19904.0,124975.0,11394.35,40571.4
2023-06-13,20832,18529,71402.0,15349.0,20492.0,126278.0,11438.91,40428.7
2023-06-14,20859,18555,70970.0,15478.0,20674.0,128329.0,11658.98,41214.0
2023-06-17,20888,18579,71179.0,15605.0,20609.0,128448.0,11581.68,41024.9
2023-06-18,20902,18591,69591.0,15664.0,20534.0,127645.0,11415.27,40477.0
2023-06-19,20916,18603,67944.0,16061.0,20728.0,127677.0,11553.49,40731.8
2023-06-20,20930,18615,68789.0,16342.0,21164.0,128234.0,11501.66,40686.5
2023-06-21,20959,18640,68308.0,16371.0,21207.0,129097.0,11578.05,41108.6
2023-06-24,20988,18664,69477.0,16386.0,21044.0,128439.0,11530.76,41145.2
2023-06-25,21002,18676,69583.0,16515.0,21772.0,129911.0,11636.24,41966.8
2023-06-26,21016,18689,68992.0,16538.0,21813.0,130129.0,11608.96,41952.3
2023-06-27,21032,18701,69108.0,16507.0,21406.0,129279.0,11515.3,41463.4
2023-06-28,21067,18725,68887.0,16597.0,21193.0,128360.0,11382.53,40757.0
2023-07-01,21091,18750,70142.0,16434.0,20941.0,127939.0,11374.35,40536.5
2023-07-02,21105,18762,71528.0,16535.0,21057.0,129341.0,11614.42,41041.7
2023-07-03,21119,18774,71786.0,16774.0,21413.0,132056.0,11839.94,41580.9
2023-07-04,21133,18787,70770.0,17352.0,21958.0,133828.0,12012.72,41966.6
2023-07-05,21168,18811,70427.0,17659.0,22176.0,133501.0,11937.24,41823.7
2023-07-08,21189,18836,70407.0,17785.0,22311.0,133219.0,11962.71,41680.5
2023-07-09,21203,18848,69791.0,17948.0,22683.0,132230.0,11960.89,41371.1
2023-07-10,21217,18861,69000.0,17801.0,22701.0,130324.0,11795.38,40979.5
2023-07-11,21231,18874,67962.0,17873.0,22355.0,128484.0,11635.34,40545.8
2023-07-12,21267,18899,67956.0,17615.0,21841.0,125497.0,11366.16,39491.7
2023-07-15,21288,18916,68683.0,17699.0,21970.0,125679.0,11324.33,39372.8
2023-07-16,21302,18929,67158.0,17667.0,21794.0,122276.0,11031.52,38438.91
2023-07-17,21316,18942,67451.0,17680.0,22001.0,120322.0,10968.77,37508.71
2023-07-18,21330,18954,67977.0,17950.0,22485.0,124445.0,11212.48,38852.4
2023-07-19,21366,18979,67394.0,18498.0,22852.0,124673.0,11173.38,38829.7
2023-07-22,21387,19004,66955.0,18607.0,23128.0,122010.0,10855.1,37738.61
2023-07-23,21401,19017,65843.0,18422.0,23088.0,123697.0,10907.84,38078.71
2023-07-24,21415,19029,66432.0,18108.0,22812.0,124193.0,11117.0,38717.9
2023-07-25,21429,19042,67674.0,18321.0,22875.0,123417.0,11017.88,38846.9
2023-07-26,21465,19067,68858.0,18548.0,23300.0,122594.0,11058.8,38820.9
2023-07-29,21486,19092,68718.0,18863.0,23752.0,122740.0,11033.34,38899.5
2023-07-30,21502,19105,68683.0,19225.0,23819.0,120693.0,10822.36,38329.71
2023-07-31,21516,19118,69392.0,18945.0,23684.0,121250.0,10863.28,38585.0
2023-08-01,21538,19153,72378.0,18738.0,23766.0,122923.0,11072.44,39146.9
2023-08-05,21580,19181,70975.0,18928.0,23969.0,126208.0,11287.96,39959.8
2023-08-06,21593,19194,70370.0,19224.0,23996.0,125174.0,11148.82,39624.2
2023-08-07,21608,19206,70239.0,19093.0,23510.0,126155.0,11220.66,39834.4
2023-08-08,21623,19219,69512.0,18999.0,23437.0,124835.0,11363.43,39390.4
2023-08-09,21658,19244,70044.0,19145.0,23900.0,124925.0,11271.59,39663.7
2023-08-12,21681,19270,67366.0,18797.0,23604.0,120556.0,10923.3,38681.8
2023-08-13,21696,19283,68726.0,18758.0,23686.0,120842.0,10974.23,38705.7
2023-08-14,21711,19295,68659.0,19199.0,23730.0,122079.0,11014.24,38868.1
2023-08-15,21727,19309,68326.0,18913.0,23520.0,120273.0,10846.92,38443.01
2023-08-16,21763,19335,68236.0,19199.0,23309.0,120043.0,10806.9,38203.71
2023-08-19,21784,19360,67342.0,18671.0,22967.0,118152.0,10677.77,37850.91
2023-08-20,21799,19373,67513.0,18980.0,22818.0,118032.0,10617.75,37764.31
2023-08-21,21814,19383,67298.0,18877.0,22798.0,118332.0,10702.33,37952.51
2023-08-22,21830,19396,67866.0,18795.0,22683.0,115815.0,10567.74,37470.31
2023-08-23,21867,19421,68271.0,18883.0,22905.0,118085.0,10823.27,38084.51
2023-08-26,21888,19447,67751.0,19009.0,22918.0,122446.0,11160.65,39244.6
2023-08-27,21903,19460,68043.0,18981.0,22846.0,125853.0,11445.28,40286.9
2023-08-28,21918,19473,67764.0,18943.0,22984.0,126008.0,11559.86,40945.8
2023-08-29,21934,19486,67702.0,18831.0,23039.0,125685.0,11540.76,40724.1
2023-08-30,21969,19511,68019.0,18899.0,23438.0,125768.0,11677.17,40917.4
