config,population,generations,init_mut,high_mut,base_seed,window_index,best_fitness,generations_run,runtime_s
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,33,0.8219872215523483,25,2.0277235419999897
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,34,0.8173186896546223,20,1.8326084160000278
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,35,0.8428793534351153,27,2.14679933299999
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,0,0.9,18,1.7366792919999625
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,1,0.9,18,1.8426136670000233
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,2,0.8135189525949518,30,2.2154580000000124
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,3,0.8284605618942602,30,2.0691015830000197
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,4,0.8186216537489968,30,2.1102448329999675
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,5,0.8018160466983393,30,2.1498754169999756
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,6,0.8212124587358222,27,2.150276125000005
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,7,0.8154651225689176,26,2.10610920900001
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,8,0.8127500669446185,18,1.7032098750000273
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,9,0.9,18,1.7723290000000134
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,10,0.9,18,1.8498465829999873
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,11,0.8478779116241563,30,2.2999167910000438
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,12,0.8701179650484848,30,2.275311875
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,13,0.8171438523970408,30,1.802376666999976
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,14,0.8301328862286753,30,2.1175796670000295
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,15,0.8279789889202811,24,1.8829584580000187
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,16,0.9,18,1.8304666249999855
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,17,0.9,18,1.8784981250000214
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,18,0.844981320183255,30,2.1794769580000093
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,19,0.8582090272989188,30,2.2811772919999953
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,20,0.8,18,1.773808540999994
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,21,0.8000144598507434,24,2.0291863749999948
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,22,0.8037117166957403,30,2.228702749999968
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,23,0.8426974437337024,30,2.167876791000026
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,24,0.847694699140428,30,1.9695339579999995
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,25,0.8499612169708155,22,1.8054902080000375
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,26,0.9,18,1.9870877500000006
